Project,Iteration,Classifier,FeatureSelection,Sampling,CostSensitive,Precision,Recall,AUC,Kappa,F1-Score
SYNCOPE,1,RandomForest,none,none,none,NaN,0.000,0.999,0.000,NaN
SYNCOPE,1,NaiveBayes,none,none,none,0.000,0.000,0.556,-0.001,0.000
SYNCOPE,1,IBk,none,none,none,NaN,0.000,0.913,0.000,NaN
SYNCOPE,1,RandomForest,BestFirst,none,none,NaN,0.000,0.481,0.000,NaN
SYNCOPE,1,NaiveBayes,BestFirst,none,none,0.000,0.000,0.822,-0.001,0.000
SYNCOPE,1,IBk,BestFirst,none,none,NaN,0.000,0.890,0.000,NaN
SYNCOPE,1,RandomForest,none,none,SensitiveThreshold,0.000,0.000,0.999,-0.000,0.000
SYNCOPE,1,NaiveBayes,none,none,SensitiveThreshold,0.000,0.000,0.556,-0.001,0.000
SYNCOPE,1,IBk,none,none,SensitiveThreshold,NaN,0.000,0.913,0.000,NaN
SYNCOPE,2,RandomForest,none,none,none,0.000,0.000,0.493,-0.001,0.000
SYNCOPE,2,NaiveBayes,none,none,none,0.014,0.200,0.868,0.020,0.026
SYNCOPE,2,IBk,none,none,none,0.000,0.000,0.777,-0.001,0.000
SYNCOPE,2,RandomForest,BestFirst,none,none,0.000,0.000,0.591,-0.001,0.000
SYNCOPE,2,NaiveBayes,BestFirst,none,none,0.000,0.000,0.701,-0.006,0.000
SYNCOPE,2,IBk,BestFirst,none,none,0.000,0.000,0.716,-0.001,0.000
SYNCOPE,2,RandomForest,none,SMOTE,none,0.000,0.000,0.539,-0.001,0.000
SYNCOPE,2,NaiveBayes,none,SMOTE,none,0.015,0.400,0.870,0.023,0.029
SYNCOPE,2,IBk,none,SMOTE,none,0.000,0.000,0.776,-0.003,0.000
SYNCOPE,2,RandomForest,none,none,SensitiveThreshold,0.000,0.000,0.494,-0.001,0.000
SYNCOPE,2,NaiveBayes,none,none,SensitiveThreshold,0.012,0.200,0.868,0.017,0.023
SYNCOPE,2,IBk,none,none,SensitiveThreshold,0.000,0.000,0.777,-0.001,0.000
SYNCOPE,3,RandomForest,none,none,none,1.000,0.100,0.996,0.181,0.182
SYNCOPE,3,NaiveBayes,none,none,none,0.014,0.200,0.884,0.019,0.025
SYNCOPE,3,IBk,none,none,none,1.000,0.100,0.997,0.181,0.182
SYNCOPE,3,RandomForest,BestFirst,none,none,1.000,0.100,0.988,0.181,0.182
SYNCOPE,3,NaiveBayes,BestFirst,none,none,0.026,0.200,0.885,0.040,0.045
SYNCOPE,3,IBk,BestFirst,none,none,1.000,0.100,0.989,0.181,0.182
SYNCOPE,3,RandomForest,none,SMOTE,none,0.109,0.500,0.990,0.174,0.179
SYNCOPE,3,NaiveBayes,none,SMOTE,none,0.017,0.800,0.898,0.027,0.033
SYNCOPE,3,IBk,none,SMOTE,none,0.106,0.500,0.991,0.171,0.175
SYNCOPE,3,RandomForest,none,none,SensitiveThreshold,0.636,0.700,0.997,0.666,0.667
